Cycles,Capacity,EMD_Capacity
1.0,1.89105229539079,1.877375212311438
2.0,1.880637027686859,1.8774933799691436
3.0,1.8806626717011388,1.8775335412061862
4.0,1.8807709009833444,1.8774985439318868
5.0,1.8794508728285055,1.8773912360555656
6.0,1.8807003517117404,1.8772144654865448
7.0,1.8799352523566075,1.8769710801341444
8.0,1.88150881240388,1.8766639279076855
9.0,1.8696907870385844,1.8762958567164896
10.0,1.870052380139199,1.8758697144698773
11.0,1.8700442394188577,1.875388349077169
12.0,1.8596518987766364,1.874854608447687
13.0,1.8590746560862208,1.8742713404907507
14.0,1.8590084577709232,1.8736413931156823
15.0,1.8593622586957048,1.8729660952421419
16.0,1.8587355450601035,1.87224069983115
17.0,1.847817291322145,1.8714590348118254
18.0,1.8485252916137047,1.8706153039443145
19.0,1.848378951850034,1.8697038049465247
20.0,1.8807805437609768,1.8687188355363602
21.0,1.88147215974436,1.8676546934317286
22.0,1.8810954313244783,1.8665056763505345
23.0,1.8710089649779995,1.8652660820106852
24.0,1.8701995151941373,1.863930208130085
25.0,1.8706715362800983,1.8624923524266406
26.0,1.8596124644020169,1.8609468126182571
27.0,1.860033909718346,1.8592878864228417
28.0,1.8591653109160768,1.8575098715582992
29.0,1.8481398178778288,1.855607258917282
30.0,1.849201702126164,1.8535755098735927
31.0,1.8834677437950849,1.8514112896666883
32.0,1.8628211117905844,1.8491123395672497
33.0,1.852085039652352,1.8466766204082232
34.0,1.8469504648208708,1.8441020930225527
35.0,1.836828431169018,1.8413867182431851
36.0,1.8371619619672277,1.838528456903064
37.0,1.8316722583718852,1.8355252698351359
38.0,1.8211470951317783,1.8323751178723464
39.0,1.816506091511515,1.82907596184764
40.0,1.8113815601504557,1.8256257625939631
41.0,1.8116056333939583,1.8220224809442607
42.0,1.8060548955557405,1.8182640777314774
43.0,1.8132041826994056,1.81434851378856
44.0,1.8062641938283532,1.8102745588954317
45.0,1.7958310249900458,1.8060456297655894
46.0,1.7858852600390451,1.8016715966421462
47.0,1.780326860450275,1.7971637409138743
48.0,1.8150756899575575,1.7925333439695452
