Cycles,Capacity,EMD_Capacity
1.0,2.035337591005598,1.9839426616894313
2.0,2.025140246031412,1.9830214171560592
3.0,2.013326371345464,1.9817342030793539
4.0,2.0132846655407413,1.9800950613362462
5.0,2.000528337624771,1.978120395101963
6.0,2.0138990759931645,1.9758266075517334
7.0,2.013101105626967,1.9732301018607863
8.0,1.96878982627284,1.9703472812043503
9.0,1.9681661764334244,1.967194548757654
10.0,1.9572307917560536,1.9637883076959255
11.0,1.9455991514129352,1.9601449611943937
12.0,1.934750504484113,1.9562809124282876
13.0,1.9232799539368028,1.9522125645728359
14.0,1.911889930948487,1.9479563208032658
15.0,1.9010667141979305,1.9435285842948073
16.0,1.8891989948061456,1.9389440397045759
17.0,1.878278372248849,1.9342104976172398
18.0,1.8675697161520208,1.9293344691259169
19.0,1.8675892574453767,1.9243241414299848
20.0,1.979626548250818,1.9191881207553834
21.0,1.9575499080884025,1.9139350133280542
22.0,1.9458150170787551,1.9085734253739366
23.0,1.9242461121680092,1.9031119631189726
24.0,1.945981133142164,1.8975592327891027
25.0,1.901407930553079,1.891923840610267
26.0,1.878674213680085,1.8862135505944
27.0,1.8683061328264217,1.8804327578974107
28.0,1.8560244070083,1.8745850154612016
29.0,1.8451997961855775,1.8686738762276751
30.0,1.857228890885317,1.8627012244357704
31.0,1.9247760889090637,1.8566622695125712
32.0,1.8822317526092551,1.8505505521822005
33.0,1.855276687885587,1.8443596131687792
34.0,1.839250891718188,1.8380829931964273
35.0,1.8185396073994429,1.8317142329892682
36.0,1.8134770059567056,1.8252468732714224
37.0,1.7971018450305436,1.818674454767011
38.0,1.7810046294120476,1.8119905182001557
39.0,1.7710130422682329,1.8051886042949787
40.0,1.7604712448170945,1.7982622537755995
41.0,1.7502913788006589,1.791205007366141
42.0,1.7394925037732578,1.7840134988182426
43.0,1.7546766553637203,1.7766967339936137
44.0,1.7659390941842177,1.7692668117814845
45.0,1.7337887419624838,1.7617358310710831
46.0,1.713325912040734,1.7541159044905232
47.0,1.7024077813673466,1.7464191996234637
48.0,1.82371946178183,1.738657897792447
49.0,1.8081284050314708,1.7308438234806693
50.0,1.7757610945034283,1.7229873738139303
51.0,1.7447409841836798,1.7150985890786823
52.0,1.729207034132373,1.707187509561378
53.0,1.7081086552553244,1.6992642077249782
54.0,1.6975954237461768,1.691338884738475
55.0,1.6820634524029463,1.6834217739473698
56.0,1.6714768322295086,1.6755231086971634
57.0,1.6607591387047655,1.6676531223333564
58.0,1.651121015038069,1.6598220482014505
59.0,1.640134925619093,1.6520401196469454
60.0,1.629199941616544,1.6443175700153432
61.0,1.6088496302961666,1.6366646326521441
62.0,1.6035244898969248,1.6290915409028492
63.0,1.5989712144027983,1.6216085281129595
64.0,1.5876273123575604,1.614225827627976
65.0,1.5829719744686166,1.6069536727933997
66.0,1.567137636713563,1.5998022969547308
67.0,1.5613446139713882,1.5927819334574713
68.0,1.551171189279042,1.5859028156471215
69.0,1.5406741606295171,1.579175176869182
70.0,1.5253138744624433,1.5726092504691545
71.0,1.5301570318067428,1.5662152697925393
72.0,1.524656683447409,1.5600034681848374
73.0,1.5145492986655429,1.5539824599809529
74.0,1.509391504602082,1.548154383473399
75.0,1.5039974333050703,1.5425197579440928
76.0,1.4935201918040188,1.5370778818349449
77.0,1.4876323024497422,1.5318231702278386
78.0,1.5302876214401704,1.526748817364652
79.0,1.5040760088360112,1.5218480174872624
80.0,1.4887593608730894,1.5171139648375478
81.0,1.4782779285546637,1.5125398536573846
82.0,1.478459982215684,1.5081188781886519
83.0,1.473214844899973,1.5038438549225885
84.0,1.4675164935067897,1.4997060893478846
85.0,1.4516292657521337,1.495696509202593
86.0,1.4519237720967175,1.4918060422247656
87.0,1.4471484694777743,1.488025616152455
88.0,1.4468538105659885,1.4843461587237132
89.0,1.4416741930284678,1.480758597676593
90.0,1.5935866593100128,1.4772538607491466
91.0,1.5463902376915637,1.4738228756794267
92.0,1.51470559175661,1.4704565702054848
93.0,1.4989786083335404,1.4671458720653743
94.0,1.4831110745410492,1.4638816929592762
95.0,1.4729664825468278,1.460654880435888
96.0,1.4627604396099307,1.4574564785316544
97.0,1.4518364681062514,1.4542782449472638
98.0,1.4468670644030392,1.4511122586552496
99.0,1.441380399427779,1.447953080186492
100.0,1.431210744960774,1.4447959245710138
101.0,1.4260247179525716,1.4416360068388396
102.0,1.420487649966195,1.4384685420199934
103.0,1.4207006230355006,1.4352887451444987
104.0,1.452255804330839,1.4320918312423792
105.0,1.431557632772571,1.4288730153436582
106.0,1.415015751158943,1.4256275124783597
107.0,1.4097311506517451,1.4223505376765082
108.0,1.404917318129309,1.4190373059681265
109.0,1.395164296571563,1.4156830323832381
110.0,1.3945343832614077,1.4122829319518684
111.0,1.3893171179312644,1.408832219704039
112.0,1.3838379472327809,1.405326110669775
113.0,1.3736814238195123,1.4017598954536945
114.0,1.3786059891863676,1.3981304103485448
115.0,1.3737600299108574,1.3944395407806716
116.0,1.3682580583942712,1.3906904155661723
117.0,1.3633024037317505,1.3868861635211456
118.0,1.35809661401726,1.3830299134616881
119.0,1.353269090999531,1.379124794203898
120.0,1.3841605738237488,1.3751739345638725
121.0,1.4051467790651473,1.3711804633577092
122.0,1.378719022627353,1.367147509401506
123.0,1.3682657783199066,1.36307820151136
124.0,1.3573151296618016,1.3589756685033694
125.0,1.3524934638801596,1.3548426507825702
126.0,1.3474099151661236,1.3506803351097507
127.0,1.3370075130842318,1.3464895198346396
128.0,1.3312352966718526,1.342271003306964
129.0,1.3259303781727645,1.338025583876452
130.0,1.321578743867529,1.3337540598928315
131.0,1.321225074066109,1.329457928661084
132.0,1.3156485301862682,1.3251414833072073
133.0,1.3209025697502388,1.320809715912453
134.0,1.3474328767273906,1.316467361128028
135.0,1.3260128072353616,1.3121181238849562
136.0,1.3101186784831065,1.307765451684217
137.0,1.30521620229393,1.3034127920267893
138.0,1.3004061951355774,1.2990635924136513
139.0,1.300235735841116,1.2947213003457827
140.0,1.2895066722480757,1.2903893633241625
141.0,1.279253057384795,1.2860712288497689
142.0,1.2792078171714618,1.2817703444235817
143.0,1.274036760902923,1.2774901575465794
144.0,1.2741273923001468,1.2732341157197409
145.0,1.263763942644078,1.269006316386951
146.0,1.2581373688955233,1.2648134567637175
147.0,1.253259864055301,1.2606628840084548
148.0,1.2532313315493426,1.2565640288215085
149.0,1.2480874960313575,1.2525346560709547
150.0,1.2534354284944844,1.2485946141668018
151.0,1.28980487732669,1.2447631056362967
152.0,1.2635402021758837,1.2410567494756422
153.0,1.2479761706842851,1.2374915187982813
154.0,1.2321202877943334,1.2340835162318085
155.0,1.2271137666213534,1.2308493624604298
156.0,1.2217397581377356,1.2278058076825036
157.0,1.211102678915174,1.2249696020963903
158.0,1.2056159765131735,1.2223574959004462
159.0,1.2008936262717274,1.2199862392930323
160.0,1.1905903985558337,1.2178725824725058
161.0,1.185179251041941,1.216033275637226
162.0,1.1796706818144624,1.2144850689855522
163.0,1.1745952836753917,1.2132447127158419
164.0,1.15381833159625,1.2123289570264548
165.0,1.1644009557372264,1.2117545521157498
166.0,1.1587974947916069,1.2115344105526895
167.0,1.1749748834769171,1.21166517873914
168.0,1.1856752327929356,1.2121360028495123
